Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006744517187,5.718674,-1.823587,7.887053,0.361617,-2.159753,0.177749,-10.054554,14.430895,-56.340331,,0.863135,-0.068577,-0.091394,-0.491876,2.782478,1.986145,8.829944,-0.064060,-0.469873,-0.053768,-27.918297,-27.016557,-28.543885,,0.409523,0.169796,0.025408,0.895999,-9.261312,0.197077,0.290086,0.213796,-0.471122,0.440267,44.061203,-26.945400,21.281932,,0.661312,-0.250871,0.639630,0.301006,-6.124609,-1.957174,7.434273,0.125862,0.046615,0.178268,-10.852806,30.341745,-63.808073,,0.155677,0.310987,0.161839,-0.923505
1668006744525000,5.482174,-1.773887,7.608153,0.327687,-2.459533,0.111849,-11.714854,14.704195,-55.420031,,0.882896,-0.077445,-0.112942,-0.449155,2.493478,1.793145,8.842644,0.057520,-0.470193,-0.274398,-27.908997,-26.940157,-28.447785,,0.408873,0.170713,0.026321,0.896095,-9.168212,0.198277,0.280786,0.232366,-0.453452,0.429847,44.056503,-27.015000,21.119332,,0.661962,-0.249552,0.638977,0.302056,-6.153309,-1.809474,7.434273,0.133652,0.047445,0.186238,-10.777106,30.286545,-63.838373,,0.155929,0.310985,0.161319,-0.923554
1668006744532812,4.931974,-1.753187,7.217553,0.280607,-2.736433,0.061309,-13.547754,14.867695,-54.444431,,0.895896,-0.085338,-0.134028,-0.414878,1.730178,1.280445,8.642344,0.120630,-0.473713,-0.412128,-27.842197,-27.036457,-28.254085,,0.409060,0.171872,0.027252,0.895760,-9.055412,0.245377,0.288386,0.249856,-0.450502,0.416257,44.056503,-27.015000,20.976232,,0.662558,-0.248333,0.638378,0.303020,-6.176909,-1.739774,7.412673,0.136282,0.052475,0.184278,-10.809906,30.251945,-63.893573,,0.156362,0.311128,0.160666,-0.923546
1668006744540625,4.387274,-1.615187,6.810853,0.229497,-2.997653,0.036979,-15.421254,15.077995,-53.258431,,0.903726,-0.092729,-0.154291,-0.388425,0.954678,1.309345,8.313844,0.147150,-0.408343,-0.480938,-27.899797,-27.132557,-27.994485,,0.409441,0.172403,0.028191,0.895455,-8.971212,0.291277,0.270286,0.270926,-0.429162,0.400237,44.056503,-27.015000,20.850732,,0.663094,-0.247142,0.637882,0.303864,-6.194209,-1.680274,7.368973,0.132382,0.054715,0.177558,-10.724406,30.158645,-63.923873,,0.156901,0.311378,0.159936,-0.923497
1668006744548437,3.703874,-1.443387,6.455053,0.168627,-3.218333,0.055039,-17.357254,15.411195,-51.919531,,0.907662,-0.100004,-0.173498,-0.368845,0.571078,1.667545,8.084844,0.145930,-0.341323,-0.569418,-27.747397,-27.295757,-27.907685,,0.409991,0.172133,0.029364,0.895218,-8.895012,0.312777,0.150386,0.297066,-0.378172,0.383547,44.101903,-27.128500,20.700132,,0.663479,-0.246035,0.637549,0.304619,-6.204109,-1.728674,7.343773,0.132202,0.049755,0.174868,-10.669306,30.103445,-64.009273,,0.157523,0.311695,0.159138,-0.923422
1668006744556250,2.785374,-1.346587,6.060653,0.097137,-3.385253,0.134479,-19.246954,15.784995,-50.319331,,0.908692,-0.107478,-0.191427,-0.355082,0.590478,1.980545,7.782244,0.074100,-0.359893,-0.719528,-27.748797,-27.324957,-27.800785,,0.410565,0.171402,0.030714,0.895050,-8.809612,0.355277,-0.035614,0.324846,-0.321512,0.369767,43.963303,-27.198100,20.630532,,0.663688,-0.244994,0.637427,0.305258,-6.138809,-1.835474,7.320873,0.137552,0.046245,0.176628,-10.608706,30.068845,-64.034173,,0.158188,0.312063,0.158303,-0.923328
1668006744564062,1.744174,-1.168187,5.558353,0.023687,-3.528953,0.262549,-20.960454,16.215995,-48.588831,,0.907561,-0.115404,-0.207949,-0.346081,0.950278,2.395545,7.538644,0.014750,-0.494063,-0.880628,-27.741097,-27.564357,-27.617685,,0.411470,0.170899,0.032059,0.894683,-8.754412,0.408677,-0.125014,0.357916,-0.288632,0.348747,43.861203,-27.198100,20.630532,,0.663783,-0.243970,0.637494,0.305733,-6.121809,-1.756874,7.362573,0.141372,0.048265,0.175038,-10.463806,30.036045,-64.009273,,0.158830,0.312454,0.157495,-0.923224
1668006744571875,0.782474,-0.841487,4.881353,-0.069973,-3.644083,0.406589,-22.601054,16.627295,-46.694831,,0.904703,-0.124047,-0.222950,-0.341201,1.184578,2.306045,7.623644,-0.000740,-0.676293,-1.011108,-27.579397,-27.573657,-27.425185,,0.412678,0.171141,0.033411,0.894031,-8.763212,0.465077,-0.096414,0.396226,-0.291522,0.312767,43.808203,-27.198100,20.524532,,0.663863,-0.242977,0.637626,0.306074,-6.164009,-1.642474,7.366673,0.139412,0.055615,0.168258,-10.405006,30.026345,-64.094773,,0.159449,0.312864,0.156714,-0.923111
1668006744579687,-0.011026,-0.710887,4.064353,-0.204383,-3.669423,0.537409,-24.011554,17.110895,-44.640331,,0.900407,-0.133576,-0.236158,-0.340078,1.661578,2.176045,7.932444,-0.050290,-0.767363,-1.035398,-27.504597,-27.679057,-27.176585,,0.414013,0.171787,0.034529,0.893247,-8.792212,0.488277,-0.035414,0.425806,-0.311262,0.269127,43.775703,-27.145100,20.452032,,0.664026,-0.241968,0.637751,0.306260,-6.114409,-1.742874,7.309473,0.134962,0.059195,0.163808,-10.382606,29.908145,-64.149873,,0.160041,0.313298,0.155929,-0.922994
1668006744587500,-0.953826,-0.975587,3.232253,-0.355423,-3.565013,0.609249,-25.063554,17.607695,-42.500031,,0.895024,-0.143897,-0.247314,-0.342142,2.343878,1.974045,8.478844,-0.131080,-0.782233,-0.960098,-27.504797,-27.908957,-27.080485,,0.415363,0.172586,0.035171,0.892441,-8.741012,0.533677,0.002886,0.445996,-0.322022,0.226247,43.775703,-27.112600,20.394432,,0.664271,-0.240961,0.637858,0.306300,-6.088709,-1.747674,7.366173,0.134902,0.066875,0.164878,-10.297206,29.908145,-64.214773,,0.160627,0.313759,0.155168,-0.922864
